"id";"spending_ids/id";"plan_line_ids/id";"name";"target_ids/id";"year"
"";"itb_plan_spending_562";"";"";"";""
"";"itb_plan_spending_563";"";"";"";""
"";"itb_plan_spending_564";"";"";"";""
"";"itb_plan_spending_565";"";"";"";""
"";"itb_plan_spending_566";"";"";"";""
"";"itb_plan_spending_567";"";"";"";""
"";"itb_plan_spending_568";"";"";"";""
"";"itb_plan_spending_569";"";"";"";""
"";"itb_plan_spending_570";"";"";"";""
"";"itb_plan_spending_571";"";"";"";""
"";"itb_plan_spending_572";"";"";"";""
"";"itb_plan_spending_573";"";"";"";""
"";"itb_plan_spending_574";"";"";"";""
"";"itb_plan_spending_575";"";"";"";""
"";"itb_plan_spending_576";"";"";"";""
"";"itb_plan_spending_577";"";"";"";""
"";"itb_plan_spending_578";"";"";"";""
"";"itb_plan_spending_579";"";"";"";""
"";"itb_plan_spending_580";"";"";"";""
"";"itb_plan_spending_581";"";"";"";""
"";"itb_plan_spending_582";"";"";"";""
"";"itb_plan_spending_583";"";"";"";""
"";"itb_plan_spending_584";"";"";"";""
"";"itb_plan_spending_585";"";"";"";""
"";"itb_plan_spending_586";"";"";"";""
"";"itb_plan_spending_587";"";"";"";""
"";"itb_plan_spending_588";"";"";"";""
"";"itb_plan_spending_589";"";"";"";""
"";"itb_plan_spending_590";"";"";"";""
"";"itb_plan_spending_591";"";"";"";""
"";"itb_plan_spending_592";"";"";"";""
"";"itb_plan_spending_593";"";"";"";""
"";"itb_plan_spending_594";"";"";"";""
"";"itb_plan_spending_595";"";"";"";""
"";"itb_plan_spending_596";"";"";"";""
"";"itb_plan_spending_597";"";"";"";""
"";"itb_plan_spending_598";"";"";"";""
"";"itb_plan_spending_599";"";"";"";""
"";"itb_plan_spending_600";"";"";"";""
"";"itb_plan_spending_601";"";"";"";""
"";"itb_plan_spending_602";"";"";"";""
"";"itb_plan_spending_603";"";"";"";""
"";"itb_plan_spending_604";"";"";"";""
"";"itb_plan_spending_605";"";"";"";""
"";"itb_plan_spending_606";"";"";"";""
"";"itb_plan_spending_607";"";"";"";""
"";"itb_plan_spending_608";"";"";"";""
"";"itb_plan_spending_609";"";"";"";""
"";"itb_plan_spending_610";"";"";"";""
"";"itb_plan_spending_611";"";"";"";""
"";"itb_plan_spending_612";"";"";"";""
"";"itb_plan_spending_613";"";"";"";""
"";"itb_plan_spending_614";"";"";"";""
"";"itb_plan_spending_615";"";"";"";""
"";"itb_plan_spending_616";"";"";"";""
"";"itb_plan_spending_617";"";"";"";""
"";"itb_plan_spending_618";"";"";"";""
"";"itb_plan_spending_619";"";"";"";""
"";"itb_plan_spending_620";"";"";"";""
"";"itb_plan_spending_621";"";"";"";""
"";"itb_plan_spending_622";"";"";"";""
"";"itb_plan_spending_623";"";"";"";""
"";"itb_plan_spending_624";"";"";"";""
